iso_a3,admin,plural,definite,nationalities
PER,Peru,0,0,Peruvians
PHL,Philippines,1,1,Philippineans
PCN,Pitcairn Islands,1,1,Pitcairn Islanders
POL,Poland,0,0,Polish
PRT,Portugal,0,0,Portuguese
PRI,Puerto Rico,0,0,Puerto Ricans
QAT,Qatar,0,0,Qataris
COG,Republic of Congo,0,1,Congolese
SRB,Republic of Serbia,0,1,Serbians
ROU,Romania,0,0,Romanians
RUS,Russia,0,0,Russians
RWA,Rwanda,0,0,Rwandans
BLM,Saint Barthelemy,0,0,Barthelemoises
SHN,Saint Helena,0,0,Caribbeans
KNA,Saint Kitts and Nevis,0,0,Caribbeans
LCA,Saint Lucia,0,0,Caribbeans
MAF,Saint Martin,0,0,Caribbeans
SPM,Saint Pierre and Miquelon,0,0,Caribbeans
VCT,Saint Vincent and the Grenadines,0,0,Caribbeans
WSM,Samoa,0,0,Samoans
SMR,San Marino,0,0,San Marino
STP,Sao Tome and Principe,0,0,Sammarinese
SAU,Saudi Arabia,0,0,Saudi Arabians
SEN,Senegal,0,0,Senegaleses
SYC,Seychelles,1,1,Seychellois
SLE,Sierra Leone,0,0,Sierra Leonians
SGP,Singapore,0,0,Singaporeans
SXM,Sint Maarten,0,0,Dutch
SVK,Slovakia,0,0,Slovaks
SVN,Slovenia,0,0,Slovene or Slovenians
SLB,Solomon Islands,1,1,Solomon Islanders
SOM,Somalia,0,0,Somalis
ZAF,South Africa,0,0,South Africans
SGS,South Georgia and South Sandwich Islands,1,1,South Georgians
KOR,South Korea,0,0,South Koreans
SSD,South Sudan,0,0,South Sudanese
ESP,Spain,0,0,Spanish
LKA,Sri Lanka,0,0,Sri Lankans
SDN,Sudan,0,0,Sudanese
SUR,Suriname,0,0,Surinamese
SWZ,Swaziland,0,0,Swazis
SWE,Sweden,0,0,Swedish
CHE,Switzerland,0,0,Swiss
SYR,Syria,0,0,Syrians
TWN,Taiwan,0,0,Taiwanese
TJK,Tajikistan,0,0,Tajiks
THA,Thailand,0,0,Thais
BHS,The Bahamas,1,0,The Bahamdians
TGO,Togo,0,0,Togolese
TON,Tonga,0,0,Tongolese
TTO,Trinidad and Tobago,0,0,Trinidadians
TUN,Tunisia,0,0,Tunisians
TUR,Turkey,0,0,Turkish
TKM,Turkmenistan,0,0,Turkmens
TCA,Turks and Caicos Islands,1,1,Turks and Caicos Islanders
UGA,Uganda,0,0,Ugandans
UKR,Ukraine,0,0,Ukrainians
ARE,United Arab Emirates,1,1,Emiratis
GBR,Britain,0,0,British
TZA,United Republic of Tanzania,0,1,Tanzanians
USA,United States of America,1,1,Americans
VIR,United States Virgin Islands,1,1,Virgin Islanders
URY,Uruguay,0,0,Uruguayans
UZB,Uzbekistan,0,0,Uzbeks
VUT,Vanuatu,0,0,Vanuatuans
VAT,Vatican,0,1,Citizebs of Vatican City
VEN,Venezuela,0,0,Venezuelans
VNM,Vietnam,0,0,Vietnamese
WLF,Wallis and Futuna,0,0,Wallisians
WEL,Wales,0,0,Welsh
NI,Northern Ireland,0,0,Northern Irish
ESH,Western Sahara,0,0,Western Saharans
YEM,Yemen,0,0,Yemenis
ZMB,Zambia,0,0,Zambians
ZWE,Zimbabwe,0,0,Zimbabweans
